iter	Logloss
0	0.6476545649
1	0.624005036
2	0.6128697322
3	0.6073975639
4	0.603210633
5	0.5999536146
6	0.5979580981
7	0.595845353
8	0.5939140327
9	0.5925610884
10	0.5917155446
11	0.5904069376
12	0.5898079052
13	0.5883573511
14	0.5877467053
15	0.5868833415
16	0.5862747117
17	0.5854930103
18	0.5848288548
19	0.5844436246
20	0.5838114503
21	0.583093113
22	0.5819423459
23	0.5812244892
24	0.580291449
25	0.5795302996
26	0.5789260106
27	0.5782404381
28	0.5771471783
29	0.5763408168
30	0.575562446
31	0.5748314828
32	0.5738920264
33	0.5728456258
34	0.5719389779
35	0.5710720326
36	0.5705312539
37	0.5699797327
38	0.5692088619
39	0.5685858376
40	0.5677952815
41	0.5670169678
42	0.5661583157
43	0.5652788169
44	0.5645928993
45	0.5639107577
46	0.5629619401
47	0.5623066473
48	0.561479163
49	0.5611054987
50	0.5603566599
51	0.5596330523
52	0.5589930556
53	0.5583004506
54	0.5576231128
55	0.5570434102
56	0.5562309338
57	0.5556076704
58	0.5547474533
59	0.5539136241
60	0.5531308089
61	0.5523799451
62	0.5516335165
63	0.5508483786
64	0.5502745822
65	0.5497318459
66	0.5489715785
67	0.5485025341
68	0.5478208866
69	0.5472306009
70	0.5464295347
71	0.5458508452
72	0.5451482593
73	0.544575322
74	0.5438958474
75	0.5433565193
76	0.5427710331
77	0.5420753055
78	0.5413026809
79	0.5408962354
80	0.5402721478
81	0.5395926206
82	0.5389998714
83	0.5385192506
84	0.5378460671
85	0.5373166239
86	0.5366937014
87	0.5360181249
88	0.5354400588
89	0.5347862983
90	0.5343836494
91	0.5338755464
92	0.5332400713
93	0.5325456163
94	0.5319821627
95	0.5313490405
96	0.5308737758
97	0.5303900146
98	0.5298706442
99	0.5295954594
