iter	Passed	Remaining
0	113	11240
1	156	7680
2	201	6509
3	234	5639
4	275	5242
5	317	4978
6	348	4627
7	374	4302
8	402	4067
9	430	3877
10	458	3708
11	487	3572
12	511	3425
13	540	3320
14	565	3203
15	591	3103
16	615	3007
17	639	2915
18	664	2831
19	687	2751
20	712	2681
21	738	2617
22	762	2554
23	786	2489
24	812	2436
25	834	2376
26	858	2322
27	881	2266
28	909	2225
29	932	2174
30	955	2127
31	980	2083
32	1004	2040
33	1030	1999
34	1054	1958
35	1078	1917
36	1101	1875
37	1124	1834
38	1148	1796
39	1171	1756
40	1195	1720
41	1220	1685
42	1243	1648
43	1269	1615
44	1293	1580
45	1318	1547
46	1343	1514
47	1367	1481
48	1393	1450
49	1415	1415
50	1442	1385
51	1466	1353
52	1492	1323
53	1515	1290
54	1540	1260
55	1563	1228
56	1587	1197
57	1614	1168
58	1642	1141
59	1681	1120
60	1723	1101
61	1750	1073
62	1776	1043
63	1800	1012
64	1828	984
65	1850	953
66	1877	924
67	1899	894
68	1923	864
69	1948	834
70	1974	806
71	1998	777
72	2025	749
73	2050	720
74	2076	692
75	2102	663
76	2128	635
77	2153	607
78	2176	578
79	2199	549
80	2225	521
81	2253	494
82	2282	467
83	2307	439
84	2334	411
85	2361	384
86	2388	356
87	2418	329
88	2444	302
89	2470	274
90	2497	247
91	2524	219
92	2551	192
93	2578	164
94	2604	137
95	2628	109
96	2651	82
97	2676	54
98	2700	27
99	2721	0
